post_id,image_ID,comments_count,likes_count,followers,author_name,caption,date,year,month,day,category,labels
shwetarohira_533824_3054690494728449355_16526_75,2023-03-09_13-11-45_UTC.jpg,75,16526,0,shwetarohira,"Where Love was Sinful - Chirasree Bose @chirasreebose_ 

Right from the title the book has me it’s like a spider web that entangled me and every page unravels a layer that surprised me or rather I would say shocked me. Kudos to the author who so well has crafted a story with so many characters and each one of them with different layers and back stories. It’s a book that has every ingredient required for a perfect drama thriller. It has love, friendships, relationships, politics, greed, jealousy, adulatory, lust and more. It took me a couple of sitting to read the book as after few chapters I felt like analysing the characters and their stories as to their reasoning for their particular sin. It’s a story about umpteenth sins but all for one reason love. But the catch here is love for different emotions. Deep right!!! Hence I would says it’s a story with a lot of depth. To give you a little snippet it’s a story of three main characters Shaaman, Maya and Aahil. As maya arrives in Delhi to meet her husband Shaaman family and for a celebration, mysterious deaths start taking place in the house and what should have been a celebration turns catastrophic. There is a story between maya and aahil too which is sinful. Now you may wonder who is Aahil but if I tell you anything more it would be a spoiler. I would recommend you to read and unravel the mystery yourself. I also have to when I read the last book penned by the author I was amazed at the nail biting suspense thriller as I couldn’t till the end guess what was in store for me but here again she has amazed me and broken her own record with another suspense thriller. It’s a book I would recommend all mystery lovers who would like to have an amazing thrilling time.",2023-03-0,2023,3,0,Core Influencers,"Hand,Smile,Publication,Book,Eyelash,Finger,Material property,Book cover,Gadget,Advertising,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_1.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Sharing,Gesture,Font,Happy,Poster,Lipstick,Event,Advertising,Fun,Conversation,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_10.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Smile,Tartan,Flash photography,Plaid,Entertainment,Event,Fashion design,Long hair,Spokesperson,Fun,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_2.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Smile,Workwear,Fashion,Sleeve,Yellow,Gesture,High-visibility clothing,Collar,Travel,Happy,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_3.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Shorts,Human,Performing arts,Entertainment,Fun,Leisure,Youth,Event,Stage,Fashion design,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_4.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Smile,Watch,Hand,Hairstyle,Outerwear,Arm,Shoulder,Facial expression,Organ,Human,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_5.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Smile,Pink,Happy,Fashion design,Entertainment,Performing arts,Leisure,Chair,Event,Fun,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_6.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Flash photography,Sleeve,Gesture,Entertainment,Fun,Event,Cap,Performing arts,Electric blue,T-shirt,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_7.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Glasses,Vision care,Flash photography,Gesture,Entertainment,Performing arts,Eyewear,Event,Music,Fun,"
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_8.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Smile,Flash photography,Gesture,Entertainment,Happy,Performing arts,Event,Fashion design,Belt,Jewellery,"
